TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap
2022-12-14T15:02:17.300Z,82,10,R,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,27.3,47.9,RG,52.1,51.2,0.9
2022-12-14T15:02:21.800Z,82,12,R,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,31.8,43.4,RG,51.5,50.3,1.2
2022-12-14T15:02:25.200Z,82,11,R,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,35.2,40,RG,46.9,46.6,0.3
2022-12-14T15:02:30.700Z,82,9,R,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,40.7,34.5,RG,40.2,38.8,1.4
2022-12-14T15:03:09.400Z,82,10,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,79.4,-4.2,GG,6.7,5.3,1.4
2022-12-14T15:03:10.900Z,82,9,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,80.9,-5.7,GG,68.9,2.6,66.3
2022-12-14T15:03:12.100Z,82,11,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,82.1,-6.9,GG,3.1,2.2,0.9
2022-12-14T15:03:13.300Z,82,12,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,83.3,-8.1,GG,2.4,2.1,0.3
2022-12-14T15:03:15.200Z,82,11,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,85.2,-10,GG,2.2,1.8,0.4
2022-12-14T15:03:15.700Z,82,12,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,85.7,-10.5,GG,2.7,1.8,0.9
2022-12-14T15:03:16.100Z,82,10,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,86.1,-10.9,GG,2.4,1.6,0.8
2022-12-14T15:03:17.400Z,82,11,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,87.4,-12.2,GG,2.2,1.4,0.8
2022-12-14T15:03:18.400Z,82,12,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,88.4,-13.2,GG,1.8,1.6,0.2
2022-12-14T15:03:18.500Z,82,10,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,88.5,-13.3,GG,4.2,1.5,2.7
2022-12-14T15:03:19.600Z,82,11,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,89.6,-14.4,GG,2.6,1.6,1
2022-12-14T15:03:20.200Z,82,12,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,90.2,-15,GG,4.2,1.5,2.7
2022-12-14T15:03:22.200Z,82,11,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,92.2,-17,GG,63.8,1.6,62.2
2022-12-14T15:03:22.700Z,82,10,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,92.7,-17.5,GG,39.8,0.9,38.9
2022-12-14T15:03:24.400Z,82,12,G,1,120,2022-12-14T15:01:50Z,2022-12-14T15:01:53.600Z,2022-12-14T15:03:05.200Z,75.2,94.4,-19.2,GG,8.9,1.4,7.5
