TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap
2022-12-14T15:00:39.700Z,82,27,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,4.7,70.6,RR,52.3,0.4,51.9
2022-12-14T15:00:41.600Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,6.6,68.7,RR,37.4,0.4,37
2022-12-14T15:01:19Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,44,31.3,RR,14,0.4,13.6
2022-12-14T15:01:32Z,82,27,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,57,18.3,RR,5.5,0.4,5.1
2022-12-14T15:01:33Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,58,17.3,RR,6.8,0.4,6.4
2022-12-14T15:01:35.500Z,82,29,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,60.5,14.8,RR,5.9,0.4,5.5
2022-12-14T15:01:37.500Z,82,27,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,62.5,12.8,RR,7.8,0.3,7.5
2022-12-14T15:01:39.800Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,64.8,10.5,RR,3.7,0.4,3.3
2022-12-14T15:01:41.400Z,82,29,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,66.4,8.9,RR,2.1,0.6,1.5
2022-12-14T15:01:43.500Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,68.5,6.8,RR,3.9,0.4,3.5
2022-12-14T15:01:43.500Z,82,29,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,68.5,6.8,RR,4.1,0.4,3.7
2022-12-14T15:01:45.300Z,82,27,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,70.3,5,RR,5.1,0.6,4.5
2022-12-14T15:01:47.400Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,72.4,2.9,RR,2,0.5,1.5
2022-12-14T15:01:47.600Z,82,29,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,72.6,2.7,RR,1.7,0.7,1
2022-12-14T15:01:49.300Z,82,29,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,74.3,1,RG,2.3,1.1,1.2
2022-12-14T15:01:49.400Z,82,28,R,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,74.4,0.9,RR,3.1,0.6,2.5
2022-12-14T15:01:50.400Z,82,27,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,75.4,-0.1,GG,2.4,0.6,1.8
2022-12-14T15:01:51.600Z,82,29,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,76.6,-1.3,GG,1.4,0.7,0.7
2022-12-14T15:01:52.500Z,82,28,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,77.5,-2.2,GG,2.3,0.7,1.6
2022-12-14T15:01:52.800Z,82,27,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,77.8,-2.5,GG,2.6,0.8,1.8
2022-12-14T15:01:53Z,82,29,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,78,-2.7,GG,3.9,1.1,2.8
2022-12-14T15:01:54.800Z,82,28,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,79.8,-4.5,GG,16.9,0.9,16
2022-12-14T15:01:55.400Z,82,27,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,80.4,-5.1,GG,4,0.8,3.2
2022-12-14T15:01:56.900Z,82,29,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,81.9,-6.6,GG,3,1.1,1.9
2022-12-14T15:01:59.400Z,82,27,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,84.4,-9.1,GG,7.4,1.2,6.2
2022-12-14T15:01:59.900Z,82,29,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,84.9,-9.6,GG,63.2,1.4,61.8
2022-12-14T15:02:06.800Z,82,27,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,91.8,-16.5,GG,57.4,0.8,56.6
2022-12-14T15:02:11.700Z,82,28,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,96.7,-21.4,GG,9.4,0.3,9.1
2022-12-14T15:02:21.100Z,82,28,G,1,120,2022-12-14T15:00:35Z,2022-12-14T15:00:38.600Z,2022-12-14T15:01:50.300Z,75.3,106.1,-30.8,GG,21.8,0.3,21.5
2022-12-14T15:02:42.900Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,7.9,63.2,RR,18.8,0.4,18.4
2022-12-14T15:03:01.700Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,26.7,44.4,RR,9,0.4,8.6
2022-12-14T15:03:03.100Z,82,29,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,28.1,43,RR,7.5,0.6,6.9
2022-12-14T15:03:04.200Z,82,27,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,29.2,41.9,RR,45.7,1.4,44.3
2022-12-14T15:03:10.600Z,82,29,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,35.6,35.5,RR,15.6,0.6,15
2022-12-14T15:03:10.700Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,35.7,35.4,RR,2.1,0.3,1.8
2022-12-14T15:03:12.800Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,37.8,33.3,RR,13.5,0.5,13
2022-12-14T15:03:26.200Z,82,29,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,51.2,19.9,RR,17.8,0.8,17
2022-12-14T15:03:26.300Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,51.3,19.8,RR,5.9,0.4,5.5
2022-12-14T15:03:32.200Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,57.2,13.9,RR,11.3,1.2,10.1
2022-12-14T15:03:43.500Z,82,28,R,2,120,2022-12-14T15:02:35Z,2022-12-14T15:02:38.600Z,2022-12-14T15:03:46.100Z,71.1,68.5,2.6,RR,4.2,0.5,3.7
