TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap
2022-12-14T15:00:43.300Z,82,10,Y,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,1.3,49.9,YY,4,0.8,3.2
2022-12-14T15:00:47.300Z,82,10,R,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,5.3,45.9,RG,53.5,53.2,0.3
2022-12-14T15:00:52.500Z,82,9,R,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,10.5,40.7,RG,56.6,51.6,5
2022-12-14T15:00:55.200Z,82,11,R,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,13.2,38,RG,45.9,43.1,2.8
2022-12-14T15:01:40.800Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,58.8,-7.6,GG,5.4,2.2,3.2
2022-12-14T15:01:41.100Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,59.1,-7.9,GG,2.5,1.1,1.4
2022-12-14T15:01:43.600Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,61.6,-10.4,GG,2.2,1.3,0.9
2022-12-14T15:01:45.800Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,63.8,-12.6,GG,4.5,1.2,3.3
2022-12-14T15:01:46.200Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,64.2,-13,GG,3.9,1.3,2.6
2022-12-14T15:01:49.100Z,82,9,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,67.1,-15.9,GG,5.9,1,4.9
2022-12-14T15:01:50.100Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,68.1,-16.9,GG,2.6,1.2,1.4
2022-12-14T15:01:50.300Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,68.3,-17.1,GG,2.6,1.4,1.2
2022-12-14T15:01:52.700Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,70.7,-19.5,GG,2.5,1.4,1.1
2022-12-14T15:01:52.900Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,70.9,-19.7,GG,1.9,1.1,0.8
2022-12-14T15:01:54.800Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,72.8,-21.6,GG,6.9,1,5.9
2022-12-14T15:01:55Z,82,9,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,73,-21.8,GG,2.9,0.9,2
2022-12-14T15:01:55.200Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,73.2,-22,GG,5.9,1.2,4.7
2022-12-14T15:01:57.900Z,82,9,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,75.9,-24.7,GG,2.2,0.9,1.3
2022-12-14T15:02:00.100Z,82,9,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,78.1,-26.9,GG,12.2,0.9,11.3
2022-12-14T15:02:01.100Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,79.1,-27.9,GG,23.6,1.2,22.4
2022-12-14T15:02:01.700Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,79.7,-28.5,GG,1.8,1.2,0.6
2022-12-14T15:02:03.500Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,81.5,-30.3,GG,1.8,1.1,0.7
2022-12-14T15:02:05.300Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,83.3,-32.1,GG,2.3,1.1,1.2
2022-12-14T15:02:07.600Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,85.6,-34.4,GG,29.6,1.1,28.5
2022-12-14T15:02:12.300Z,82,9,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,90.3,-39.1,GG,28.3,0.7,27.6
2022-12-14T15:02:24.700Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,102.7,-51.5,GG,36.4,0.7,35.7
2022-12-14T15:02:37.200Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,115.2,-64,GG,16.4,0.8,15.6
2022-12-14T15:02:40.600Z,82,9,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,118.6,-67.4,GG,23.4,0.9,22.5
2022-12-14T15:02:53.600Z,82,11,R,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,11.6,40.1,RG,56.4,48.7,7.7
2022-12-14T15:03:01.100Z,82,10,R,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,19.1,32.6,RG,38.1,36.6,1.5
2022-12-14T15:03:04Z,82,9,R,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,22,29.7,RG,85.9,33.3,52.6
