TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap,ODTR,GapR,Int,Det
2022-12-14T15:00:43.300Z,82,10,Y,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,1.3,49.9,YY,4,0.8,3.2,,,3rd,stop
2022-12-14T15:00:47.300Z,82,10,R,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,5.3,45.9,RG,53.5,53.2,0.3,,,3rd,stop
2022-12-14T15:00:55.200Z,82,11,R,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,13.2,38,RG,45.9,43.1,2.8,,,3rd,stop
2022-12-14T15:01:40.800Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,58.8,0,GG,5.4,2.2,3.2,1.6923,1.2308,3rd,stop
2022-12-14T15:01:41.100Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,59.1,0,GG,2.5,1.1,1.4,0.8462,1.5556,3rd,stop
2022-12-14T15:01:43.600Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,61.6,0,GG,2.2,1.3,0.9,1.0833,0.2727,3rd,stop
2022-12-14T15:01:45.800Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,63.8,0,GG,4.5,1.2,3.3,0.8571,2.75,3rd,stop
2022-12-14T15:01:46.200Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,64.2,0,GG,3.9,1.3,2.6,1.0833,1.8571,3rd,stop
2022-12-14T15:01:50.100Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,68.1,0,GG,2.6,1.2,1.4,0.8571,1.2727,3rd,stop
2022-12-14T15:01:50.300Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,68.3,0,GG,2.6,1.4,1.2,1.2727,1.5,3rd,stop
2022-12-14T15:01:52.700Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,70.7,0,GG,2.5,1.4,1.1,1.1667,0.234,3rd,stop
2022-12-14T15:01:52.900Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,70.9,0,GG,1.9,1.1,0.8,1.1,0.1356,3rd,stop
2022-12-14T15:01:54.800Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,72.8,0,GG,6.9,1,5.9,0.8333,9.8333,3rd,stop
2022-12-14T15:01:55.200Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,73.2,0,GG,5.9,1.2,4.7,1,0.2098,3rd,stop
2022-12-14T15:02:01.100Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,79.1,0,GG,23.6,1.2,22.4,1.7143,0.6275,3rd,stop
2022-12-14T15:02:01.700Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,79.7,0,GG,1.8,1.2,0.6,1.0909,0.8571,3rd,stop
2022-12-14T15:02:03.500Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,81.5,0,GG,1.8,1.1,0.7,1,0.5833,3rd,stop
2022-12-14T15:02:05.300Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,83.3,0,GG,2.3,1.1,1.2,1,0.0421,3rd,stop
2022-12-14T15:02:07.600Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,85.6,0,GG,29.6,1.1,28.5,1.375,1.8269,3rd,stop
2022-12-14T15:02:24.700Z,82,10,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,102.7,0,GG,36.4,0.7,35.7,,,3rd,stop
2022-12-14T15:02:37.200Z,82,11,G,1,120,2022-12-14T15:00:42Z,2022-12-14T15:00:45.600Z,2022-12-14T15:01:33.200Z,51.2,115.2,0,GG,16.4,0.8,15.6,,,3rd,stop
2022-12-14T15:02:53.600Z,82,11,R,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,11.6,40.1,RG,56.4,48.7,7.7,,,3rd,stop
2022-12-14T15:03:01.100Z,82,10,R,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,19.1,32.6,RG,38.1,36.6,1.5,,,3rd,stop
2022-12-14T15:03:39.200Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,57.2,0,GG,6.1,4.8,1.3,3,0.3421,3rd,stop
2022-12-14T15:03:45.300Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,63.3,0,GG,5.4,1.6,3.8,1.7778,0.1086,3rd,stop
2022-12-14T15:03:50Z,82,11,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,68,0,GG,36.1,0.9,35.2,1.2857,7.3333,3rd,stop
2022-12-14T15:03:50.700Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,68.7,0,GG,35.9,0.9,35,1.2857,6.6038,3rd,stop
2022-12-14T15:04:26.100Z,82,11,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,104.1,0,GG,5.5,0.7,4.8,1,3.4286,3rd,stop
2022-12-14T15:04:26.600Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,104.6,0,GG,6,0.7,5.3,0.875,1.0816,3rd,stop
2022-12-14T15:04:31.600Z,82,11,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,109.6,0,GG,2.1,0.7,1.4,1,0.25,3rd,stop
2022-12-14T15:04:32.600Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,110.6,0,GG,5.7,0.8,4.9,1.1429,2.2273,3rd,stop
2022-12-14T15:04:33.700Z,82,11,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,111.7,0,GG,6.3,0.7,5.6,0.7,3.7333,3rd,stop
2022-12-14T15:04:38.300Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,116.3,0,GG,2.9,0.7,2.2,0.7778,0.2973,3rd,stop
2022-12-14T15:04:40Z,82,11,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,118,0,GG,2.5,1,1.5,,,3rd,stop
2022-12-14T15:04:41.200Z,82,10,G,2,120,2022-12-14T15:02:42Z,2022-12-14T15:02:45.600Z,2022-12-14T15:03:33.700Z,51.7,119.2,0,GY,8.3,0.9,7.4,,,3rd,stop
2022-12-14T15:04:42.500Z,82,11,Y,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,0.5,72.7,YY,1.6,1.1,0.5,,,3rd,stop
2022-12-14T15:04:44.100Z,82,11,Y,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,2.1,71.1,YY,3.8,0.9,2.9,,,3rd,stop
2022-12-14T15:04:47.900Z,82,11,R,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,5.9,67.3,RG,73.8,73.6,0.2,,,3rd,stop
2022-12-14T15:04:49.500Z,82,10,R,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,7.5,65.7,RG,72.6,72.1,0.5,,,3rd,stop
2022-12-14T15:06:01.700Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,79.7,0,GG,2.6,2.2,0.4,1.1579,1,3rd,stop
2022-12-14T15:06:02.100Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,80.1,0,GG,3.7,2.5,1.2,1.7857,0.2449,3rd,stop
2022-12-14T15:06:04.300Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,82.3,0,GG,2.3,1.9,0.4,0.9048,2,3rd,stop
2022-12-14T15:06:05.800Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,83.8,0,GG,6.3,1.4,4.9,1.75,1.1951,3rd,stop
2022-12-14T15:06:06.600Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,84.6,0,GG,2.3,2.1,0.2,1.1053,0.6667,3rd,stop
2022-12-14T15:06:08.900Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,86.9,0,GG,2.2,1.9,0.3,1.1176,0.375,3rd,stop
2022-12-14T15:06:11.100Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,89.1,0,GG,2.5,1.7,0.8,0.9444,0.0615,3rd,stop
2022-12-14T15:06:12.100Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,90.1,0,GG,4.9,0.8,4.1,1.1429,0.4141,3rd,stop
2022-12-14T15:06:13.600Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,91.6,0,GG,14.8,1.8,13,2,1.3978,3rd,stop
2022-12-14T15:06:17Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,95,0,GG,10.6,0.7,9.9,0.7778,4.95,3rd,stop
2022-12-14T15:06:27.600Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,105.6,0,GG,2.9,0.9,2,1.125,0.4167,3rd,stop
2022-12-14T15:06:28.400Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,106.4,0,GG,10.2,0.9,9.3,1.125,6.6429,3rd,stop
2022-12-14T15:06:30.500Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,108.5,0,GG,5.6,0.8,4.8,1,1.92,3rd,stop
