t	x
600.9	0.0
601.0	5.13
601.1	10.26
601.2	15.39
601.3	20.52
601.4	25.65
601.5	30.78
601.6	35.91
601.7	41.04
601.8	46.17
601.9	51.3
602.0	56.43
602.1	61.56
602.2	66.69
602.3	71.82
602.4	76.95
602.5	82.08
602.6	87.21
602.7	92.34
602.8	97.47
602.9	102.6
603.0	107.73
603.1	112.86
603.2	117.99
603.3	123.12
603.4	128.25
603.5	133.38
603.6	138.51
603.7	143.64
603.8	148.77
603.9	153.9
604.0	159.03
604.1	164.16
604.2	169.29
604.3	174.42
604.4	179.55
604.5	184.68
604.6	189.81
604.7	194.94
604.8	200.07
604.9	205.2
605.0	210.33
605.1	215.46
605.2	220.59
605.3	225.72
605.4	230.85
605.5	235.98
605.6	241.11
605.7	246.24
605.8	251.37
605.9	256.5
606.0	261.63
606.1	266.76
606.2	271.89
606.3	277.02
606.4	282.15
606.5	287.28
606.6	292.41
606.7	297.54
606.8	302.67
606.9	307.8
607.0	312.93
607.1	318.06
607.2	323.19
607.3	328.32
607.4	333.45
607.5	338.58
607.6	343.71
607.7	348.84
607.8	353.97
607.9	359.1
608.0	364.23
608.1	369.36
608.2	374.49
608.3	379.62
608.4	384.75
608.5	389.88
608.6	395.01
608.7	400.14
608.8	405.27
608.9	410.4
609.0	415.53
609.1	420.66
609.2	425.79
609.3	430.92
609.4	436.05
609.5	441.18
609.6	446.31
609.7	451.44
609.8	456.57
609.9	461.7
610.0	466.83
610.1	471.96
610.2	477.09
610.3	482.22
610.4	487.35
610.5	492.48
610.6	497.61
610.7	502.74
610.8	507.87
610.9	513.0
611.0	518.13
611.1	523.26
611.2	528.39
611.3	533.52
611.4	538.65
611.5	543.78
611.6	548.91
611.7	554.04
611.8	559.17
611.9	564.3
612.0	569.43
612.1	574.56
612.2	579.69
612.3	584.82
612.4	589.95
612.5	595.08
612.6	600.21
612.7	605.34
612.8	610.47
612.9	615.6
613.0	620.73
613.1	625.86
613.2	630.99
613.3	636.12
613.4	641.25
613.5	646.38
613.6	651.51
613.7	656.64
613.8	661.77
613.9	666.9
614.0	672.03
614.1	677.16
614.2	682.29
614.3	687.42
614.4	692.55
614.5	697.68
614.6	702.81
614.7	707.94
614.8	713.07
614.9	718.2
615.0	723.33
615.1	728.46
615.2	733.59
615.3	738.72
615.4	743.85
615.5	748.98
615.6	754.11
615.7	759.24
615.8	764.37
615.9	769.5
616.0	774.63
616.1	779.76
616.2	784.89
616.3	790.02
616.4	795.15
616.5	800.28
616.6	805.41
616.7	810.54
616.8	815.67
616.9	820.8
617.0	825.93
617.1	831.06
617.2	836.19
617.3	841.32
617.4	846.45
617.5	851.58
617.6	856.71
617.7	861.84
617.8	866.97
617.9	872.1
618.0	877.23
618.1	882.36
618.2	887.49
618.3	892.62
618.4	897.75
618.5	902.88
618.6	908.01
618.7	913.14
618.8	918.27
618.9	923.4
619.0	928.53
619.1	933.66
619.2	938.79
619.3	943.92
619.4	949.05
619.5	954.18
619.6	959.31
619.7	964.44
619.8	969.57
619.9	974.7
620.0	979.83
620.1	984.96
620.2	990.09
620.3	995.22
620.4	1000.35
620.5	1005.48
620.6	1010.61
620.7	1015.74
620.8	1020.87
620.9	1026.0
621.0	1031.13
621.1	1036.26
621.2	1041.39
621.3	1046.52
621.4	1051.7
621.5	1056.98
621.6	1062.36
621.7	1067.84
621.8	1073.41
621.9	1079.08
622.0	1084.85
622.1	1090.72
622.2	1096.69
622.3	1102.75
622.4	1108.91
622.5	1115.17
622.6	1121.53
622.7	1127.99
622.8	1134.54
622.9	1141.19
623.0	1147.94
623.1	1154.79
623.2	1161.74
623.3	1168.78
623.4	1175.92
623.5	1183.16
623.6	1190.5
623.7	1197.94
623.8	1205.47
623.9	1213.1
624.0	1220.83
624.1	1228.61
624.2	1236.39
624.3	1244.17
624.4	1251.95
624.5	1259.73
624.6	1267.51
624.7	1275.29
624.8	1283.07
624.9	1290.85
625.0	1298.63
625.1	1306.41
625.2	1314.19
625.3	1321.97
625.4	1329.71
625.5	1337.38
625.6	1344.97
625.7	1352.49
625.8	1359.93
625.9	1367.3
626.0	1374.59
626.1	1381.81
626.2	1388.95
626.3	1396.02
626.4	1403.01
626.5	1409.93
626.6	1416.77
626.7	1423.54
626.8	1430.23
626.9	1436.85
